time,language,tweets
2021-04-01 21:58:09,en,"3 things to know about HHS' COVID-19 vaccine ad campaign, leadership group https://t.co/uC0Q8ICo0a https://t.co/krRe0lGErR"
2021-04-01 21:58:08,en,We've got COVID-19 vaccine appointments open at Twin Falls and Boise this Saturday! https://t.co/eeBNIpe6XH
2021-04-01 21:58:03,en,Garda unrest over vaccine rollout as 100 receive surplus Covid jabs https://t.co/qdohN860rt
2021-04-01 21:58:03,en,Over 5M Canadians given at least one COVID-19 vaccine dose as rollout picks up steam https://t.co/Fq0V57MCUG https://t.co/MNNBFW8pjq
2021-04-01 21:58:02,en,@SegunOjo3 @SirMcAwesome247 @MobilePunch @dabiodunMFR  your excellence if u cannot rehabilitate do patch patch oun eba she loni Itan ni Lola #Covid_19 vaccine only circulating to Ota
2021-04-01 21:57:58,und,@Pavlos80322302 @ds13_manon https://t.co/sKnTctMKcF
2021-04-01 21:57:55,en,"@EandM4ever @teddering @mtgreenee Btw. There’s two CDC pages that state continue to wear masks. Go away id1ot. You’re out of your wheelhouse. 🤷🏽‍♂️ vaccinated-heres-why-you-shouldnt-stop-wearing-your-face-mask-yet/

https://t.co/6bzHumaPWN

https://t.co/elq70yrTo5

https://t.co/PRoGslntD7

https://t.co/g6pq1Uf8bz"
2021-04-01 21:57:51,en,My mom got her first covid vaccine today!!! 🙌🏼 https://t.co/TfhWs6uOk3
2021-04-01 21:57:51,en,@drharshvardhan @narendramodi @PMOIndia Stop flattering Modiji and work for covid! Open  vaccine for ALL ASAP
2021-04-01 21:57:47,en,He rly just said if you get covid once you can’t ever get it again and getting a vaccine means you have to get vaccines forever so it’s dumb... I wasn’t even arguing back I was just like ok but he kept going like shut up
2021-04-01 21:57:46,en,@RNAiAnalyst @somtam9999 Pfizer will have fridge ready version of covid vaccine in several months. I would reconsider this position if I were you. https://t.co/cwjLrTshfw
2021-04-01 21:57:46,en,"As COVID-19 Vaccine Myths Persist, USF Health Expert Shares The Facts https://t.co/rH5nIpcAzP"
2021-04-01 21:57:45,en,"@MarkGerretsen Boasting success at a time like this shows a stunning level of tone deafness.

It hurts to see what our province is going through, but to celebrate it is salt in a fresh wound. Why didnt the vax arrive 2 months sooner? What stopped us??

Be accountable.

https://t.co/949ZUruqoe"
2021-04-01 21:57:45,en,"The number of #COVID_19 variant cases is increasing in #SantaClaraCounty, a worrying trend that comes as the county faces a shortage of vaccine doses. https://t.co/O6upof6raD"
2021-04-01 21:57:44,en,"🥇  Seattle area #1 in the United States for willingness to get the #covid19 vaccine. 👏👏👏
#VaccinesWork 

https://t.co/uJmywbwq8y via @seattletimes"
2021-04-01 21:57:42,en,"Only six months? That’s a good thing?
Pfizer says COVID-19 vaccine lasts 6 months, protects against variants https://t.co/aFzNKMpmgM via @nypost"
2021-04-01 21:57:42,en,@BroadhurstJosh I ain’t anti vaccine at all😂🤦🏻‍♂️. This is the sad reality of covid is that now if you don’t want to have something personally you get landed as an anti vac.
2021-04-01 21:57:41,en,"A new large-scale vaccination site will open in Fort McMurray to help more residents access the COVID-19 vaccine. 1/3

All appointments booked through AHS in Fort McMurray will be at the MacDonald Island Park curling rink as of April 5. 
https://t.co/8FRieWTRXo"
2021-04-01 21:57:41,en,"Not from The Onion.

Column: California rushed to vaccinate poor people. But what about transgender people? https://t.co/9PT8bu96GU"
2021-04-01 21:57:36,en,"they vaccinated less than the amount of people that died due to covid, with the covid vaccine"
2021-04-01 21:57:34,en,"The COVID-19 vaccine side effects you can expect based on your age, sex, and dose https://t.co/FLxVn2Rb3I via @Yahoo"
2021-04-01 21:57:33,en,"REMEMBER THEY ARE THE PEOPLE WHO BRING US OUR FOOD,PRODUCTS https://t.co/7raT1czg6E"
2021-04-01 21:57:33,en,"Happy Biden will help. Trump had refused to. Republicans are cruel, evil &amp; heartless. Every ""rich"" country should give $ to help!
#COVID19 #COVID #vaccine 

Vaccines are finally reaching poor countries, but some can’t cover the cost of administering them https://t.co/cXZOdU90mv"
2021-04-01 21:57:29,en,black folks not wanting the covid vaccine might be a blessing in disguise for the rest of us
2021-04-01 21:57:28,en,Registration for Montgomery County COVID vaccine clinics for ages 16+ opens Friday https://t.co/9muNROFqGn
2021-04-01 21:57:28,en,About 25% of Worcester’s population have received at least 1 one shot of a COVID vaccine as numbers still hover higher than officials would like https://t.co/JTK7tKImRq
2021-04-01 21:57:25,en,"Don't freak out if you get these side effects from a Covid-19 vaccine

https://t.co/2t0D9omag8"
2021-04-01 21:57:24,en,"@espiers I think every business should require vaccine proof and/or mask wearing in absence of such proof—it’s the fastest way to get the COVID devastation behind us, so we, the economy, and the world can heal &amp; move on—"
2021-04-01 21:57:23,en,"GPs say federal government has ‘set us up to fail’ on COVID-19 vaccine rollout https://t.co/aHCKcCUF7i

The Morrison government fails again on all the big actions and decisions.  They have messed up the covid19 vaccination program.

#auspol"
2021-04-01 21:57:21,en,"As part of Santa Barbara County’s Health Center COVID-19 Vaccine Program, COVID-19 vaccines will be available in a 7-day clinic at Hancock's Santa Maria campus April 5 -11.

Learn if you are eligible and make an appointment today at https://t.co/AzEYKqND24. https://t.co/JKrmNUEOMa"
2021-04-01 21:57:20,en,Getting the Pfizer vaccine Saturday! Johnson and Johnson is 66% of the COVID protein. Maderna is 67% and a 2 shot. Pfizer is 90% a single shot
2021-04-01 21:57:17,en,COVID-19 vaccines play a key role in making your family and your community safer. Find out the facts on vaccines here: https://t.co/DPdmBtRnK0. https://t.co/rbPMV9GH0E
2021-04-01 21:57:17,en,File this under: reasons I’m glad I moved to Seattle. https://t.co/fWbVI5sk8x
2021-04-01 21:57:16,en,@kenkelly1 I heard from a doctor that flu jabs will be 'incorporating' covid vaccine in them.
2021-04-01 21:57:13,en,"My family and I will not take the Covid vaccine, It’s not healthy – Apostle Suleman says - Lailas News

https://t.co/asrOYvYPsh https://t.co/jjeI3S0zpG"
2021-04-01 21:57:12,en,"NEW: Kaiser Permanente - Panorama Medical Center Area on 05-06, 05-07
Total Appointments at Location: 35
Address: 8250 Woodman Ave, Panorama City, CA 91402
Posted @ 1617314233
https://t.co/aDCTOi72AM"
2021-04-01 21:57:12,en,"@atasiding8 @ds13_manon Its 101% effective  oops sorryyyy

https://t.co/sKnTctMKcF"
2021-04-01 21:57:10,en,Just got my second dose of the covid vaccine https://t.co/lByd6xU4wY
2021-04-01 21:57:07,en,"I think people are still arguing to increase vaccination and not announce lockdown. But the fact is that even after vaccines people are getting infected. Staying home &amp; avoiding contact is the only solution. Vaccine will be an ongoing process.
#vaccine #Covid_19 #mumbailockdown"
2021-04-01 21:57:05,en,Anybody interested in the covid vaccine (Moderna)? DM me
2021-04-01 21:57:03,en,U.S. Air Travel to Vacation Spots Is Returning https://t.co/5Wzz0sQkei https://t.co/XRN0qv6zrB
2021-04-01 21:56:56,en,I’m getting the second dose of the covid vaccine tomorrow! I’ll try to remember to tweet updates on symptoms. You can also dm me if you have any questions! 💕
2021-04-01 21:56:52,en,"Lots of people up in arms about community vaccination in rural and remote areas. Sensible policy, not a sort. 
This is from Qld Health:

https://t.co/P6N3cYZhG9 https://t.co/3dMqprsyrj https://t.co/S1HW0uVdqJ"
2021-04-01 21:56:51,en,Vaccine equity: ‘Race is on’ to inoculate health workers and those most at risk globally  | COVID-19 | UN News https://t.co/4FcJQQMv2l
2021-04-01 21:56:49,en,"The clinic closest to me listed on govt #COVID19 website didn't know yesterday when they will get supplies of #vaccine. Thanks for nothing @GregHuntMP

GPs say federal government has ‘set us up to fail’ on COVID-19 vaccine rollout.
https://t.co/O0VQqKlR8M

via @GoogleNews"
2021-04-01 21:56:46,en,"5 p.m. update: The eligibility age for vaccines at our clinics has been updated to 60+.

To see a full list of eligible populations and book an appointment:

💻 https://t.co/xG6O5yGIYY
📞 1-888-385-1910"
2021-04-01 21:56:44,en,"@Katie_Isabelle I apologise for bothering you, and I understand you’ve had your COVID vaccine days ago, and feel a little off, but at what time will you be streaming tonight? Same time as Tuesday I presume?"
2021-04-01 21:56:41,en,"@SPHdeORD There is no threat to the blood supply from the Moderna or Pfizer SARS-CoV-2 vaccine, nor from other vaccines. This issue was carefully considered by the FDA and by the Red Cross. See: https://t.co/dj8X41tilw"
2021-04-01 21:56:40,en,@JulieZebrak This old lady thinks COVID vaccine as important as HPV.
2021-04-01 21:56:37,en,"UPDATE: As of 4:30 p.m., only about 500 COVID-19 vaccine doses have been administered at Tuskegee clinic. 700 doses still unused."
2021-04-01 21:56:32,en,I’m so happy for the people who were deathly afraid of contracting Covid and truly haven’t left their homes for much in a year getting the vaccine now
2021-04-01 21:56:31,en,@belsito @ASlavitt Directionally i agree. But vaccine heistency is growing rapidly as those under 50 are eligible.  Too much misinformation.  And a chunk of those who have had one shot also had Covid so can’t double count.
2021-04-01 21:56:30,en,"Young people have sacrificed the most during this pandemic.

We are bottom of the vaccine list, will be the ones paying for all the damage to the economy &amp; now set to be discriminated against even further. 

https://t.co/Ujokhvu5As"
2021-04-01 21:56:29,en,"Really???? That’s what my mom &amp; I got. 😟
Pfizer says COVID-19 vaccine lasts 6 months, protects against variants #SmartNews  https://t.co/l3kQZJ7AQa"
2021-04-01 21:56:25,en,"Second covid vaccine, booked tickets to see my mom in Calif. in May, and my brilliant advisee @emrosejohansen's  senior honors thesis named best undergrad thesis in Social Sciences. A pretty good April 1!"
2021-04-01 21:56:21,und,👍🏼👍🏼👍🏼👍🏼 https://t.co/m68KkEqpOe
2021-04-01 21:56:19,en,"Are We Much Too Timid in the Way We Fight Covid-19? (@ezraklein / New York Times)

https://t.co/uDXcL7ExUs
https://t.co/caqmzqXDf5"
2021-04-01 21:56:17,en,i dont know if this headache is from the covid vaccine or if its because i have ate today😫
2021-04-01 21:56:17,en,LETS GOO IM GETTING THE COVID VACCINE NEXT WEEK
2021-04-01 21:56:16,it,Almeno sei mesi di protezione dal #covid19 con il vaccino #Pfizer https://t.co/FLhhWKrrjT
2021-04-01 21:56:15,en,@AllieRenison i think this is about messaging with covid sceptic  and vaccine sceptic folks who might be more celebrity orientated. but agree optics prima facie not good.
2021-04-01 21:56:13,en,"@jamesmithsonian Democrats oppose Voter ID, because people are supposed to be free. Good for them.
Now do voter COVID vaccine passports."
2021-04-01 21:56:07,en,"Covid vaccine info I did not know until recently (I am clearly not paying attention).
- Pfizer vaccine approved for 17 year olds +
- Moderna vaccine approved for 18 year olds +

Means juniors and seniors in high school = vaccinated.

Freshman and Sophomore not vaccinated.

😕😕😕"
2021-04-01 21:56:06,en,"The Pfizer vaccine had no #COVID19 cases for 12-15 year old children. Amazing that it is not an #AprilFoolsDay joke

https://t.co/ELxYyrtJaH"
2021-04-01 21:56:05,en,Pfizer vaccine 'is 100% effective against South African variant' AND works for at least six months https://t.co/apBJCChWIg
2021-04-01 21:56:03,en,"I have my appointment scheduled for my 1st COVID vaccine tomorrow morning at 10:30 a.m.

Arkansas opened their guidelines up to ALL people 16+, so you bet your sweet ass that I've got my appointment scheduled."
2021-04-01 21:55:58,en,Pattydearie's Blog: 2021 Hajj: Intending pilgrims must take COVID-19 vaccine –Official... https://t.co/AZ2H6vVTGu https://t.co/n518AgRppt
2021-04-01 21:55:57,en,So did anyone else get the Microsoft vaccine for Covid and now this asshole shows up asking if you want to abandon what you are working on to do something else? https://t.co/AUhtnjvkXw
2021-04-01 21:55:56,en,"@GarethHarper1 @zoeharcombe Just for ur info coz by the look of it your iq is not more then the temperature outside , last summer when there was no vaccines there was no ppl dropping from “covid” or cases . Doubt the vaccine is the main factor now"
2021-04-01 21:55:54,en,"Residents of Maine’s islands face unique hurdles in their efforts to get vaccinated, but a nonprofit is bringing doses out to them: https://t.co/Fpd1CqZCCq"
2021-04-01 21:55:53,en,"I was told to continue to mask up even after receiving every Covid vaccine available. I will not only wear a mask, I will double mask for extra precaution #TrustTheScience"
2021-04-01 21:55:50,en,this is from the Geneva convention Article 7 of the 1966 International Covenant on Civil and Political Rights provides: “No one shall be subjected without his free consent to medical or scientific experimentation. oes mandating you to have the covid vaccine breech it?
2021-04-01 21:55:49,en,"April is off to a heartbreaking start. 11 deaths reported today.
March was a devastating month for our community. 2,993 cases of COVID-19 were reported along with 413 deaths.
Please do your part by staying home and wearing a mask. Get your vaccine as soon as it's your turn!
... https://t.co/ru2mI7cmek"
2021-04-01 21:55:44,und,https://t.co/Stomi0I13k
2021-04-01 21:55:43,it,"Ritorno IN UFFICIO per i dipendenti #Google, e #vaccino NON obbligatorio per lavorare IN LOCO.

#Vaccine #PD #FratellidItalia #M5S #Lega #Covid_19 #Vaccine #Facebook #Microsoft #BillGatesBioTerrorist

#ForzaNuova #ItaliaLibera https://t.co/dTJWTStQTX"
2021-04-01 21:55:41,en,Covid Vaccine Clinic Today at Age of A... https://t.co/BzyuJXuRoj
2021-04-01 21:55:38,en,"Today at the Texas Capitol, I received my first COVID-19 Vaccine! Every single Texan over the age of 18 is now eligible to be vaccinated. 

To register for your vaccine, visit https://t.co/fAFC3JTdiZ
Thank you to U.S. Army Specialist Christopher Ramos who administered my vaccine! https://t.co/npI9RAt4hn"
2021-04-01 21:55:38,en,"Sorry but the CDC leadership has bungled its messaging on COVID lately. 

Biden says any American who wants a vaccine can get one by May 1st. CDC now says vaccinated people do not carry virus. Over 70% of older Americans have received the vaccine.

So where’s the “impending doom” https://t.co/I0BuWWzdoy"
2021-04-01 21:55:37,en,"As COVID vaccines become available for all eligible adults this month, some community advocates worry that tech and language barriers will further squeeze seniors and other at-risk communities out. We raise these concerns to the @TheCityofSac: https://t.co/jMbMZzEYBr"
2021-04-01 21:55:35,en,What’s safe to do after you get the COVID-19 vaccine? https://t.co/rGU1UmfSU3
2021-04-01 21:55:34,en,"i’m  rly  bad  with  needles  n  anytime  i  get  a  shot  or  blood  drawn  it’s  like,  always  random  n  spontaneous  during  a  doctor  appt,  so  having  over  a  week  to  think  abt  this  covid  vaccine  is  too  much  😭"
2021-04-01 21:55:34,en,Wow. ⁦@knausc⁩ reports a batch of vaccines meant for vulnerable residents in a Melbourne public housing tower... never arrived  https://t.co/SJCQ1mvl2e
2021-04-01 21:55:33,en,"Pretty important time for the federal govt to actually admit to the problems and stop the pantomime.

https://t.co/WIKG9z7Xs5 https://t.co/wkSgTF6jVw"
2021-04-01 21:55:33,en,"Getting my second vaccine shot tomorrow and I'm nervous, I don't want to be achy and feverish for a few days, I get enough of that thx. Maybe I won't be! But if I am, I will remember the words of @JessBScott: if this is COVID light, you don't want COVID spicy."
2021-04-01 21:55:32,en,Every time I go to schedule a covid vaccine appt it never works out and I’m so frustrated
2021-04-01 21:55:25,en,"If the covid vaccine protects you and you get it, then why are you concerned about people who don't want it? There are no good answers."
2021-04-01 21:55:25,en,@ibdxqueenstown @CeeBee_NZ So she’s considered to be a border worker and he is family of a border worker. Why are people surprised? https://t.co/mwofDVVWHV
2021-04-01 21:55:21,en,Local Covid-19 vaccine wait list could go live sooner than expected https://t.co/VPJ7ww3pjk
2021-04-01 21:55:21,en,@KikiwahT COVID-19 vaccines designed to elicit neutralising antibodies may sensitise vaccine recipients to more severe disease than if they were not vaccinated. https://t.co/PBin1uK0PW
2021-04-01 21:55:20,en,GONNA GET MICROCHIPPED FROM THE COVID VACCINE IN 15 HELL YEA BUDDER 🥵 https://t.co/RmS40KamBx
2021-04-01 21:55:20,en,So I wonder if there's a correlation to how you react to the vaccine as to how you would've reacted to getting actual COVID.
2021-04-01 21:55:20,en,"Tonight on @fox5ny, we're doing a story about the COVID vaccine becoming available in CT today and NY next week for everyone 16+.  Do you have a 16 or 17 year old and wondering if you should get them vaccinated?  Want to talk to us? @StaceyDelikat @FOX5DESK"
2021-04-01 21:55:19,en,"@murpharoo @knausc We all know that Aust would have been stuffed during the worst of covid if the Premiers hadn’t taken control, so the States should take control of the vaccine rollout."
2021-04-01 21:55:19,en,Just got your COVID-19 vaccine and want to share the news? The Better Business Bureau says you shouldn't post a picture of your vaccination card on social media. Here's why: https://t.co/6OvqM2F8Ou
2021-04-01 21:55:14,en,@CantH0LDMe How was it getting in showing Vaccine or Covid tests? Did it go smooth?
2021-04-01 21:55:13,en,"COVID-19: Vaccine passports will 'definitely' become part of international travel, PM says
https://t.co/xa2OYsPSTw https://t.co/SThXBC1r4v"
2021-04-01 21:55:12,en,I bought Outriders I’m going to relax for a bit. The 2nd Covid vaccine shot got me tired AF.
2021-04-01 21:55:07,en,"New clinical trials showed that Pfizer's COVID-19 vaccine elicits ""100% efficacy and robust antibody responses"" in adolescents from 12 to 15 years old, the drug company announced Wednesday. https://t.co/z9OHzSozyF"
2021-04-01 21:55:07,en,"@DrTessaT That's terrible, this needs to end...look at this poor woman...https://t.co/D2toGH8TO5"
2021-04-01 21:55:05,en,@L4L_UK @PetraJSteward The vaccine kills old and young indiscriminately.  Average age of death from 'covid' is ~83.  You have to consider years of life lost in any analysis.
2021-04-01 21:55:04,en,@Al3nziEng @kuwait_tt1100 I believe statement says a person can not get CoVID-19 from the Vaccine itself since it does not contain the virus.
2021-04-01 21:55:03,en,"Scammers are using a new trick: a bogus COVID vaccine survey. In exchange for completing the survey, they offer a free gift, but ask you to pay shipping fees. OC Treasurer Freidenrich recommends if you get an email or text like this, STOP. https://t.co/o09isK8Nx8 https://t.co/n4GbP9qTjK"
2021-04-01 21:55:01,en,"Gov. Henry McMaster took to Twitter today in opposition to ""vaccine passports"" in South Carolina. Do you agree? https://t.co/elf8Vp0Ndg https://t.co/XMfTRRT1Fd"
2021-04-01 21:55:00,en,"🚨 Washoe County residents 🚨 
Those 16+ can sign up NOW for appointments to receive the COVID-19 vaccine starting April 5 at the Livestock Events Center.

Appointments showing available for the 5th, 6th and 10th!

Sign up here: https://t.co/VpObZnmNBd"
2021-04-01 21:55:00,en,My actual job has been crazy the last few weeks. I've been so busy that I had to take a day off to go get part 1 of my COVID vaccine tomorrow. Also means I've barely thought about Twitter or anything else so... hi. I'm not dead.
2021-04-01 21:54:59,en,Crowe is wrong. The problems are not just about supply. There are fundamental flaws in communication and booking systems for COVID-19 vaccination. State leaders and doctors are right to blame Federal government for incompetence. https://t.co/bes2ahHYEM
2021-04-01 21:54:57,en,I got my first dose of the covid vaccine just so I don't have to do Crossfit.
2021-04-01 21:54:57,en,"Can confirm, delighted to see friends vaccinated across the country and here in MD we are watching with lots of envy. via @NYTimes https://t.co/cUNg0yFyBy"
2021-04-01 21:54:56,en,Your Liberal government is an embarrassment to Canadians regarding the Covid vaccine procurement and it will be my mission to ensure you are not re-elected in my riding @gagansikand
2021-04-01 21:54:56,en,the covid vaccine possible side effects don't scare me cause if i'm part of the 0.1% of ppl that get extreme reactions i'll just k**l myself and i think that's a pretty healthy mindset to have
2021-04-01 21:54:56,en,"@stevin2021 @Blarfk @Sling35419208 @AlexBerenson Everything you just wrote is absolute nonsense. There are no vaccine enhanced deaths. This is simply COVID sadly playing out its course. Nothing more. 

You are staring at graphs and making wild assumptions. Like seeing dogs in clouds.

https://t.co/NUq2W9kaxJ"
2021-04-01 21:54:53,en,⚠By scheduling your COVID-19 vaccine appointment you are confirming that you are eligible for a COVID-19 vaccine and that you are at least 16 years of age⚠️
2021-04-01 21:54:48,en,"I’ve heard, it maybe possible to get a COVID Vaccine shot without taking a selfie. Not sure if it’s true. 💉"
2021-04-01 21:54:47,en,"This article says it all. 
4 ways Australia's COVID vaccine rollout has been bungled https://t.co/iJ2ofEXldY via @ConversationEDU"
2021-04-01 21:54:46,en,@Timcast So I'm confused.. if Covid is a virus that can't be erasticated because the vaccine is just like the flu vaccine.  Why are they trying to equate it to Small pox and other illnesses that are not the same thing? Those were one and done. This will be yearly if not more
2021-04-01 21:54:42,en,"Have you filled out the short survey about your thoughts on the COVID-19 vaccine? Whether you've received your vaccine or not, CBJ wants to hear from you. Take the survey now on https://t.co/hVi2czP1ja. https://t.co/aPHCCbhw17"
2021-04-01 21:54:41,en,@SardonicOldMan Since you can still spread Covid despite the vaccine and infect others the passport is meaningless. It's a participation trophy that is just as valuable as any participation trophy.
2021-04-01 21:54:38,en,"The 2nd shot 💉 has landed!Thank you 🙏🏼 @CVSHealth for the ease, organization, and accessibility for #RI #educators to get our COVID-19 vaccine."
2021-04-01 21:54:33,en,Here's how you can be forced to get the Covid vaccine in the U.S. $BTC.BS-USS $@GC.1 $C $JPM https://t.co/D7c7Udglh0
2021-04-01 21:54:32,en,"@lucylulumusic @MattHancock Jail smallcock  ASAP

https://t.co/sKnTctMKcF"
2021-04-01 21:54:32,en,"This Pharmacy Technician - Retail Store job might be a great fit for you. Click the link in our bio to see it and more. Pharmacy Technician - COVID 19 Vaccine Support at CVS Health #Pontotoc, MS"
2021-04-01 21:54:28,en,Column: California rushed to vaccinate poor people. But what about transgender people? https://t.co/YlEcUeUSRQ
2021-04-01 21:54:19,en,"@WatchRatio @Jens1872 @ChezPotter Hopefully your age and the vaccine help you shake it off, I lost my grandad and nearly my mum to it, I don't think people realise how damaging covid can be. Hopefully you'll be completely fine and that will be great but if you do get shortness of breath, please call 111."
2021-04-01 21:54:16,en,@pkligerman Got my 2nd Pfizer Covid vaccine Monday 👍
2021-04-01 21:54:16,en,@GavinNewsom @CA_OSG When will non California residents who are full time rv travelers be able to receive a Covid vaccine?
2021-04-01 21:54:15,en,Was able to get my first covid 19 vaccine today. https://t.co/wv4WcL6MgG
2021-04-01 21:54:14,en,"@DSlayer97531 The flu has a very good vaccine, even when it isn’t as effective it alleviates symptoms.  Covid had nothing like this.
You really aren’t getting the point.  It is severe in spite of all the right-wing bullshit that gets slung around.  Over 500,000 deaths prove that."
2021-04-01 21:54:09,en,@talkRADIO @THEJamesWhale @virtualash @Beverleyknight If anyone regardless of their ethnicity is sceptical about taking a rushed experimental vaccine then fair play to them for trying to preserve their health! The clinical trials don’t end until 2023.  Covid has a approx 99.8% survival rate.  Side effects could kick in 2yrs later!
2021-04-01 21:54:09,en,Is there a reason in particular to try to target vaccinations at every affinity group under the sun rather than just making them widely available to everybody? https://t.co/jP3jMhM8cN
2021-04-01 21:54:05,en,"Unlike the U.S. and the U.K., the EU’s procurement efforts didn’t prioritize domestic vaccine deliveries first https://t.co/57RtoQit6d"
2021-04-01 21:54:05,en,Pfizer COVID vaccine 91% effective for at least 6 months | CIDRAP (God and bad news – have to get another shot in September?) https://t.co/KhUqhDkyXz
2021-04-01 21:54:05,en,I get my first covid vaccine tomorrow!!!!!!!!
2021-04-01 21:54:05,en,COVID-19 Testing Remains Important As Vaccine Shots Surge Says Bio Logic Aqua® Research &amp; Sharon Kleyne https://t.co/XJZx33JDfV
2021-04-01 21:54:05,en,"South Korea To Launch Blockchain-based Vaccine Passports Called Green Pass that will function through a smartphone app to facilitate cross-border travel and minimizing risk of viral infections.

Source: #Cointelegraph

#Covid_19
#vaccine
#blockchain 
#GreenPass
#worldnews https://t.co/orb6Is6ZsE"
2021-04-01 21:54:04,en,Just got my second COVID-19 vaccine dose. https://t.co/Q6E9EdgRsm
2021-04-01 21:53:58,en,"@tskould @gadboit @MyrneStol @resteen @kakape @MacDeptMed @JATetro meaning why see this in AZ covid vax specifically and not in any other general inactivated virus vaccine ? It would have to be something specific about the DNA, which loops back to epitope mimicry."
2021-04-01 21:53:56,en,New vaccine clinic in Fort McMurray. A new large-scale vaccination site will open in Fort McMurray to help more residents access the COVID-19 vaccine: https://t.co/fbF7s82a3O #COVID19AB
