location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,Region,Income group,new_cases,new_deaths,reproduction_rate,aged_65_older,hospital_beds_per_thousand,population,population_density,median_age,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,pop_vax_percent,cluster
Albania,ALB,2021-01-30,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,Upper middle income,901.0,11.0,1.19,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-01-31,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,Upper middle income,876.0,11.0,1.19,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-01,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,Upper middle income,865.0,13.0,1.19,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-02,550.0,549.0,1.0,0.0,0.0,Europe & Central Asia,Upper middle income,942.0,5.0,1.18,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-03,0.0,0.0,0.0,0.0,12.0,Europe & Central Asia,Upper middle income,1007.0,6.0,1.18,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-04,0.0,0.0,0.0,0.0,24.0,Europe & Central Asia,Upper middle income,1052.0,14.0,1.18,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-05,0.0,0.0,0.0,0.0,35.0,Europe & Central Asia,Upper middle income,1089.0,15.0,1.18,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-06,0.0,0.0,0.0,0.0,47.0,Europe & Central Asia,Upper middle income,1130.0,13.0,1.17,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-07,0.0,0.0,0.0,0.0,59.0,Europe & Central Asia,Upper middle income,1124.0,14.0,1.16,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-08,0.0,0.0,0.0,0.0,71.0,Europe & Central Asia,Upper middle income,953.0,12.0,1.15,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-09,1127.0,689.0,438.0,0.0,82.0,Europe & Central Asia,Upper middle income,1239.0,16.0,1.13,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.02,1
Albania,ALB,2021-02-10,0.0,0.0,0.0,0.0,81.0,Europe & Central Asia,Upper middle income,1143.0,15.0,1.11,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-11,0.0,0.0,0.0,0.0,79.0,Europe & Central Asia,Upper middle income,1105.0,14.0,1.08,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-12,0.0,0.0,0.0,0.0,78.0,Europe & Central Asia,Upper middle income,1059.0,14.0,1.06,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-13,0.0,0.0,0.0,0.0,76.0,Europe & Central Asia,Upper middle income,1152.0,12.0,1.04,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-14,0.0,0.0,0.0,0.0,75.0,Europe & Central Asia,Upper middle income,1088.0,12.0,1.03,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-15,0.0,0.0,0.0,0.0,73.0,Europe & Central Asia,Upper middle income,775.0,12.0,1.01,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-16,0.0,0.0,0.0,0.0,72.0,Europe & Central Asia,Upper middle income,801.0,15.0,1.0,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-17,1701.0,1090.0,611.0,0.0,72.0,Europe & Central Asia,Upper middle income,1075.0,18.0,1.01,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.02,1
Albania,ALB,2021-02-18,3049.0,2438.0,611.0,1348.0,254.0,Europe & Central Asia,Upper middle income,1112.0,17.0,1.02,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.02,1
Albania,ALB,2021-02-19,4177.0,0.0,0.0,1128.0,405.0,Europe & Central Asia,Upper middle income,1071.0,19.0,1.02,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-20,0.0,0.0,0.0,0.0,516.0,Europe & Central Asia,Upper middle income,1153.0,17.0,1.02,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-21,0.0,0.0,0.0,0.0,627.0,Europe & Central Asia,Upper middle income,1184.0,13.0,1.02,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-22,6728.0,6073.0,655.0,0.0,739.0,Europe & Central Asia,Upper middle income,1039.0,15.0,1.01,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.02,1
Albania,ALB,2021-02-23,0.0,0.0,0.0,0.0,891.0,Europe & Central Asia,Upper middle income,1021.0,15.0,0.99,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-24,0.0,0.0,0.0,0.0,1043.0,Europe & Central Asia,Upper middle income,1021.0,19.0,0.96,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-25,10135.0,0.0,0.0,0.0,1012.0,Europe & Central Asia,Upper middle income,986.0,21.0,0.94,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-26,0.0,0.0,0.0,0.0,1000.0,Europe & Central Asia,Upper middle income,916.0,20.0,0.93,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-27,0.0,0.0,0.0,0.0,1027.0,Europe & Central Asia,Upper middle income,986.0,19.0,0.92,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-02-28,0.0,0.0,0.0,0.0,1054.0,Europe & Central Asia,Upper middle income,952.0,21.0,0.91,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-01,14295.0,0.0,0.0,0.0,1081.0,Europe & Central Asia,Upper middle income,764.0,20.0,0.9,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-02,0.0,0.0,0.0,0.0,1026.0,Europe & Central Asia,Upper middle income,892.0,19.0,0.9,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-03,15793.0,0.0,0.0,0.0,971.0,Europe & Central Asia,Upper middle income,851.0,21.0,0.88,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-04,0.0,0.0,0.0,0.0,927.0,Europe & Central Asia,Upper middle income,847.0,20.0,0.87,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-05,0.0,0.0,0.0,0.0,897.0,Europe & Central Asia,Upper middle income,780.0,21.0,0.86,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-06,0.0,0.0,0.0,0.0,867.0,Europe & Central Asia,Upper middle income,777.0,21.0,0.85,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-07,0.0,0.0,0.0,0.0,838.0,Europe & Central Asia,Upper middle income,819.0,21.0,0.84,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-08,0.0,0.0,0.0,0.0,808.0,Europe & Central Asia,Upper middle income,683.0,17.0,0.84,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-09,0.0,0.0,0.0,0.0,820.0,Europe & Central Asia,Upper middle income,629.0,13.0,0.83,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-10,21613.0,0.0,0.0,0.0,831.0,Europe & Central Asia,Upper middle income,631.0,17.0,0.82,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-11,0.0,0.0,0.0,0.0,857.0,Europe & Central Asia,Upper middle income,602.0,16.0,0.81,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-12,23635.0,0.0,0.0,0.0,883.0,Europe & Central Asia,Upper middle income,681.0,16.0,0.82,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-13,0.0,0.0,0.0,0.0,1042.0,Europe & Central Asia,Upper middle income,698.0,12.0,0.82,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-14,0.0,0.0,0.0,0.0,1201.0,Europe & Central Asia,Upper middle income,653.0,15.0,0.81,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-15,0.0,0.0,0.0,0.0,1361.0,Europe & Central Asia,Upper middle income,543.0,15.0,0.81,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-16,0.0,0.0,0.0,0.0,1520.0,Europe & Central Asia,Upper middle income,475.0,17.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-17,33369.0,0.0,0.0,0.0,1679.0,Europe & Central Asia,Upper middle income,446.0,15.0,0.79,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-18,0.0,0.0,0.0,0.0,1960.0,Europe & Central Asia,Upper middle income,590.0,14.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-19,0.0,0.0,0.0,0.0,2240.0,Europe & Central Asia,Upper middle income,494.0,16.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-20,0.0,0.0,0.0,0.0,2386.0,Europe & Central Asia,Upper middle income,519.0,11.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-21,0.0,0.0,0.0,0.0,2533.0,Europe & Central Asia,Upper middle income,659.0,4.0,0.81,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-22,48229.0,0.0,0.0,0.0,2679.0,Europe & Central Asia,Upper middle income,344.0,8.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-23,51690.0,0.0,0.0,3461.0,2895.0,Europe & Central Asia,Upper middle income,303.0,11.0,0.79,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-24,53992.0,0.0,0.0,2302.0,2946.0,Europe & Central Asia,Upper middle income,448.0,15.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-25,59348.0,0.0,0.0,5356.0,3287.0,Europe & Central Asia,Upper middle income,472.0,13.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-26,62248.0,0.0,0.0,2900.0,3276.0,Europe & Central Asia,Upper middle income,449.0,8.0,0.81,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-27,64075.0,0.0,0.0,1827.0,3113.0,Europe & Central Asia,Upper middle income,425.0,12.0,0.81,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-28,78000.0,0.0,0.0,13925.0,4678.0,Europe & Central Asia,Upper middle income,493.0,6.0,0.81,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-29,0.0,0.0,0.0,0.0,7204.0,Europe & Central Asia,Upper middle income,285.0,6.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-30,119321.0,0.0,0.0,0.0,9662.0,Europe & Central Asia,Upper middle income,304.0,11.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-03-31,138846.0,0.0,0.0,19525.0,12122.0,Europe & Central Asia,Upper middle income,434.0,8.0,0.8,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-04-01,155463.0,0.0,0.0,16617.0,13731.0,Europe & Central Asia,Upper middle income,349.0,6.0,0.79,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-04-02,172486.0,0.0,0.0,17023.0,15748.0,Europe & Central Asia,Upper middle income,336.0,6.0,0.78,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-04-03,185496.0,0.0,0.0,13010.0,17346.0,Europe & Central Asia,Upper middle income,341.0,9.0,0.77,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-04-04,192882.0,0.0,0.0,7386.0,16412.0,Europe & Central Asia,Upper middle income,348.0,9.0,0.76,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Albania,ALB,2021-04-05,206708.0,0.0,0.0,13826.0,15435.0,Europe & Central Asia,Upper middle income,264.0,9.0,0.76,13.188,2.89,2877800.0,104.871,38.0,11803.431,304.195,10.08,78.57,0.795,0.0,1
Algeria,DZA,2021-01-29,0.0,0.0,0.0,0.0,0.0,Middle East & North Africa,Lower middle income,277.0,3.0,1.0,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-01-30,30.0,0.0,0.0,30.0,30.0,Middle East & North Africa,Lower middle income,235.0,4.0,1.0,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-01-31,0.0,0.0,0.0,0.0,1889.0,Middle East & North Africa,Lower middle income,217.0,3.0,0.97,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-02-01,0.0,0.0,0.0,0.0,2509.0,Middle East & North Africa,Lower middle income,239.0,3.0,0.98,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-02-02,0.0,0.0,0.0,0.0,2819.0,Middle East & North Africa,Lower middle income,263.0,4.0,1.0,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-02-03,0.0,0.0,0.0,0.0,3005.0,Middle East & North Africa,Lower middle income,275.0,2.0,1.0,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-02-04,0.0,0.0,0.0,0.0,3129.0,Middle East & North Africa,Lower middle income,265.0,4.0,0.98,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-02-05,0.0,0.0,0.0,0.0,3217.0,Middle East & North Africa,Lower middle income,248.0,5.0,0.96,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-02-06,0.0,0.0,0.0,0.0,3748.0,Middle East & North Africa,Lower middle income,0.0,0.0,0.96,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-02-07,0.0,0.0,0.0,0.0,3748.0,Middle East & North Africa,Lower middle income,459.0,5.0,1.06,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
Algeria,DZA,2021-02-08,0.0,0.0,0.0,0.0,3748.0,Middle East & North Africa,Lower middle income,225.0,4.0,1.03,6.211,1.9,43851043.0,17.348,29.1,13913.839,278.364,6.73,76.88,0.748,0.0,1
