time,tweets,language
2021-04-01,@RNAiAnalyst @somtam9999 Pfizer will have fridge ready version of covid vaccine in several months. I would reconsider this position if I were you. https://t.co/cwjLrTshfw,English
2021-04-01,"As COVID-19 Vaccine Myths Persist, USF Health Expert Shares The Facts https://t.co/rH5nIpcAzP",English
2021-04-01,"@MarkGerretsen Boasting success at a time like this shows a stunning level of tone deafness.

It hurts to see what our province is going through, but to celebrate it is salt in a fresh wound. Why didnt the vax arrive 2 months sooner? What stopped us??

Be accountable.

https://t.co/949ZUruqoe",English
2021-04-01,"The number of #COVID_19 variant cases is increasing in #SantaClaraCounty, a worrying trend that comes as the county faces a shortage of vaccine doses. https://t.co/O6upof6raD",English
2021-04-01,"🥇  Seattle area #1 in the United States for willingness to get the #covid19 vaccine. 👏👏👏
#VaccinesWork 

https://t.co/uJmywbwq8y via @seattletimes",English
2021-04-01,"Only six months? That’s a good thing?
Pfizer says COVID-19 vaccine lasts 6 months, protects against variants https://t.co/aFzNKMpmgM via @nypost",English
2021-04-01,@BroadhurstJosh I ain’t anti vaccine at all😂🤦🏻‍♂️. This is the sad reality of covid is that now if you don’t want to have something personally you get landed as an anti vac.,English
2021-04-01,"A new large-scale vaccination site will open in Fort McMurray to help more residents access the COVID-19 vaccine. 1/3

All appointments booked through AHS in Fort McMurray will be at the MacDonald Island Park curling rink as of April 5. 
https://t.co/8FRieWTRXo",English
2021-04-01,"Not from The Onion.

Column: California rushed to vaccinate poor people. But what about transgender people? https://t.co/9PT8bu96GU",English
2021-04-01,"they vaccinated less than the amount of people that died due to covid, with the covid vaccine",English
2021-04-01,"The COVID-19 vaccine side effects you can expect based on your age, sex, and dose https://t.co/FLxVn2Rb3I via @Yahoo",English
2021-04-01,"REMEMBER THEY ARE THE PEOPLE WHO BRING US OUR FOOD,PRODUCTS https://t.co/7raT1czg6E",English
2021-04-01,"Happy Biden will help. Trump had refused to. Republicans are cruel, evil &amp; heartless. Every ""rich"" country should give $ to help!
#COVID19 #COVID #vaccine 

Vaccines are finally reaching poor countries, but some can’t cover the cost of administering them https://t.co/cXZOdU90mv",English
2021-04-01,black folks not wanting the covid vaccine might be a blessing in disguise for the rest of us,English
2021-04-01,Registration for Montgomery County COVID vaccine clinics for ages 16+ opens Friday https://t.co/9muNROFqGn,English
2021-04-01,About 25% of Worcester’s population have received at least 1 one shot of a COVID vaccine as numbers still hover higher than officials would like https://t.co/JTK7tKImRq,English
2021-04-01,"Don't freak out if you get these side effects from a Covid-19 vaccine

https://t.co/2t0D9omag8",English
2021-04-01,"@espiers I think every business should require vaccine proof and/or mask wearing in absence of such proof—it’s the fastest way to get the COVID devastation behind us, so we, the economy, and the world can heal &amp; move on—",English
2021-04-01,"GPs say federal government has ‘set us up to fail’ on COVID-19 vaccine rollout https://t.co/aHCKcCUF7i

The Morrison government fails again on all the big actions and decisions.  They have messed up the covid19 vaccination program.

#auspol",English
2021-04-01,"As part of Santa Barbara County’s Health Center COVID-19 Vaccine Program, COVID-19 vaccines will be available in a 7-day clinic at Hancock's Santa Maria campus April 5 -11.

Learn if you are eligible and make an appointment today at https://t.co/AzEYKqND24. https://t.co/JKrmNUEOMa",English
2021-04-01,Getting the Pfizer vaccine Saturday! Johnson and Johnson is 66% of the COVID protein. Maderna is 67% and a 2 shot. Pfizer is 90% a single shot,English
2021-04-01,COVID-19 vaccines play a key role in making your family and your community safer. Find out the facts on vaccines here: https://t.co/DPdmBtRnK0. https://t.co/rbPMV9GH0E,English
2021-04-01,File this under: reasons I’m glad I moved to Seattle. https://t.co/fWbVI5sk8x,English
2021-04-01,@kenkelly1 I heard from a doctor that flu jabs will be 'incorporating' covid vaccine in them.,English
2021-04-01,"My family and I will not take the Covid vaccine, It’s not healthy – Apostle Suleman says - Lailas News

https://t.co/asrOYvYPsh https://t.co/jjeI3S0zpG",English
2021-04-01,"NEW: Kaiser Permanente - Panorama Medical Center Area on 05-06, 05-07
Total Appointments at Location: 35
Address: 8250 Woodman Ave, Panorama City, CA 91402
Posted @ 1617314233
https://t.co/aDCTOi72AM",English
2021-04-01,"@atasiding8 @ds13_manon Its 101% effective  oops sorryyyy

https://t.co/sKnTctMKcF",English
2021-04-01,Just got my second dose of the covid vaccine https://t.co/lByd6xU4wY,English
2021-04-01,"I think people are still arguing to increase vaccination and not announce lockdown. But the fact is that even after vaccines people are getting infected. Staying home &amp; avoiding contact is the only solution. Vaccine will be an ongoing process.
#vaccine #Covid_19 #mumbailockdown",English
2021-04-01,Anybody interested in the covid vaccine (Moderna)? DM me,English
2021-04-01,U.S. Air Travel to Vacation Spots Is Returning https://t.co/5Wzz0sQkei https://t.co/XRN0qv6zrB,English
2021-04-01,I’m getting the second dose of the covid vaccine tomorrow! I’ll try to remember to tweet updates on symptoms. You can also dm me if you have any questions! 💕,English
2021-04-01,"Lots of people up in arms about community vaccination in rural and remote areas. Sensible policy, not a sort. 
This is from Qld Health:

https://t.co/P6N3cYZhG9 https://t.co/3dMqprsyrj https://t.co/S1HW0uVdqJ",English
2021-04-01,Vaccine equity: ‘Race is on’ to inoculate health workers and those most at risk globally  | COVID-19 | UN News https://t.co/4FcJQQMv2l,English
2021-04-01,"The clinic closest to me listed on govt #COVID19 website didn't know yesterday when they will get supplies of #vaccine. Thanks for nothing @GregHuntMP

GPs say federal government has ‘set us up to fail’ on COVID-19 vaccine rollout.
https://t.co/O0VQqKlR8M

via @GoogleNews",English
2021-04-01,"5 p.m. update: The eligibility age for vaccines at our clinics has been updated to 60+.

To see a full list of eligible populations and book an appointment:

💻 https://t.co/xG6O5yGIYY
📞 1-888-385-1910",English
2021-04-01,"@Katie_Isabelle I apologise for bothering you, and I understand you’ve had your COVID vaccine days ago, and feel a little off, but at what time will you be streaming tonight? Same time as Tuesday I presume?",English
2021-04-01,"@SPHdeORD There is no threat to the blood supply from the Moderna or Pfizer SARS-CoV-2 vaccine, nor from other vaccines. This issue was carefully considered by the FDA and by the Red Cross. See: https://t.co/dj8X41tilw",English
2021-04-01,@JulieZebrak This old lady thinks COVID vaccine as important as HPV.,English
2021-04-01,"UPDATE: As of 4:30 p.m., only about 500 COVID-19 vaccine doses have been administered at Tuskegee clinic. 700 doses still unused.",English
2021-04-01,I’m so happy for the people who were deathly afraid of contracting Covid and truly haven’t left their homes for much in a year getting the vaccine now,English
2021-04-01,@belsito @ASlavitt Directionally i agree. But vaccine heistency is growing rapidly as those under 50 are eligible.  Too much misinformation.  And a chunk of those who have had one shot also had Covid so can’t double count.,English
2021-04-01,"Young people have sacrificed the most during this pandemic.

We are bottom of the vaccine list, will be the ones paying for all the damage to the economy &amp; now set to be discriminated against even further. 

https://t.co/Ujokhvu5As",English
2021-04-01,"Really???? That’s what my mom &amp; I got. 😟
Pfizer says COVID-19 vaccine lasts 6 months, protects against variants #SmartNews  https://t.co/l3kQZJ7AQa",English
2021-04-01,"Second covid vaccine, booked tickets to see my mom in Calif. in May, and my brilliant advisee @emrosejohansen's  senior honors thesis named best undergrad thesis in Social Sciences. A pretty good April 1!",English
2021-04-01,"Are We Much Too Timid in the Way We Fight Covid-19? (@ezraklein / New York Times)

https://t.co/uDXcL7ExUs
https://t.co/caqmzqXDf5",English
2021-04-01,i dont know if this headache is from the covid vaccine or if its because i have ate today😫,English
2021-04-01,LETS GOO IM GETTING THE COVID VACCINE NEXT WEEK,English
2021-04-01,@AllieRenison i think this is about messaging with covid sceptic  and vaccine sceptic folks who might be more celebrity orientated. but agree optics prima facie not good.,English
2021-04-01,"@jamesmithsonian Democrats oppose Voter ID, because people are supposed to be free. Good for them.
Now do voter COVID vaccine passports.",English
2021-04-01,"Covid vaccine info I did not know until recently (I am clearly not paying attention).
- Pfizer vaccine approved for 17 year olds +
- Moderna vaccine approved for 18 year olds +

Means juniors and seniors in high school = vaccinated.

Freshman and Sophomore not vaccinated.

😕😕😕",English
2021-04-01,"The Pfizer vaccine had no #COVID19 cases for 12-15 year old children. Amazing that it is not an #AprilFoolsDay joke

https://t.co/ELxYyrtJaH",English
2021-04-01,Pfizer vaccine 'is 100% effective against South African variant' AND works for at least six months https://t.co/apBJCChWIg,English
2021-04-01,"I have my appointment scheduled for my 1st COVID vaccine tomorrow morning at 10:30 a.m.

Arkansas opened their guidelines up to ALL people 16+, so you bet your sweet ass that I've got my appointment scheduled.",English
2021-04-01,Pattydearie's Blog: 2021 Hajj: Intending pilgrims must take COVID-19 vaccine –Official... https://t.co/AZ2H6vVTGu https://t.co/n518AgRppt,English
2021-04-01,So did anyone else get the Microsoft vaccine for Covid and now this asshole shows up asking if you want to abandon what you are working on to do something else? https://t.co/AUhtnjvkXw,English
2021-04-01,"@GarethHarper1 @zoeharcombe Just for ur info coz by the look of it your iq is not more then the temperature outside , last summer when there was no vaccines there was no ppl dropping from “covid” or cases . Doubt the vaccine is the main factor now",English
2021-04-01,"Residents of Maine’s islands face unique hurdles in their efforts to get vaccinated, but a nonprofit is bringing doses out to them: https://t.co/Fpd1CqZCCq",English
2021-04-01,"I was told to continue to mask up even after receiving every Covid vaccine available. I will not only wear a mask, I will double mask for extra precaution #TrustTheScience",English
2021-04-01,this is from the Geneva convention Article 7 of the 1966 International Covenant on Civil and Political Rights provides: “No one shall be subjected without his free consent to medical or scientific experimentation. oes mandating you to have the covid vaccine breech it?,English
2021-04-01,"April is off to a heartbreaking start. 11 deaths reported today.
March was a devastating month for our community. 2,993 cases of COVID-19 were reported along with 413 deaths.
Please do your part by staying home and wearing a mask. Get your vaccine as soon as it's your turn!
... https://t.co/ru2mI7cmek",English
2021-04-01,Covid Vaccine Clinic Today at Age of A... https://t.co/BzyuJXuRoj,English
2021-04-01,"Today at the Texas Capitol, I received my first COVID-19 Vaccine! Every single Texan over the age of 18 is now eligible to be vaccinated. 

To register for your vaccine, visit https://t.co/fAFC3JTdiZ
Thank you to U.S. Army Specialist Christopher Ramos who administered my vaccine! https://t.co/npI9RAt4hn",English
2021-04-01,"Sorry but the CDC leadership has bungled its messaging on COVID lately. 

Biden says any American who wants a vaccine can get one by May 1st. CDC now says vaccinated people do not carry virus. Over 70% of older Americans have received the vaccine.

So where’s the “impending doom” https://t.co/I0BuWWzdoy",English
2021-04-01,"As COVID vaccines become available for all eligible adults this month, some community advocates worry that tech and language barriers will further squeeze seniors and other at-risk communities out. We raise these concerns to the @TheCityofSac: https://t.co/jMbMZzEYBr",English
2021-04-01,What’s safe to do after you get the COVID-19 vaccine? https://t.co/rGU1UmfSU3,English
2021-04-01,"i’m  rly  bad  with  needles  n  anytime  i  get  a  shot  or  blood  drawn  it’s  like,  always  random  n  spontaneous  during  a  doctor  appt,  so  having  over  a  week  to  think  abt  this  covid  vaccine  is  too  much  😭",English
2021-04-01,Wow. ⁦@knausc⁩ reports a batch of vaccines meant for vulnerable residents in a Melbourne public housing tower... never arrived  https://t.co/SJCQ1mvl2e,English
2021-04-01,"Pretty important time for the federal govt to actually admit to the problems and stop the pantomime.

https://t.co/WIKG9z7Xs5 https://t.co/wkSgTF6jVw",English
2021-04-01,"Getting my second vaccine shot tomorrow and I'm nervous, I don't want to be achy and feverish for a few days, I get enough of that thx. Maybe I won't be! But if I am, I will remember the words of @JessBScott: if this is COVID light, you don't want COVID spicy.",English
2021-04-01,Every time I go to schedule a covid vaccine appt it never works out and I’m so frustrated,English
2021-04-01,"If the covid vaccine protects you and you get it, then why are you concerned about people who don't want it? There are no good answers.",English
2021-04-01,@ibdxqueenstown @CeeBee_NZ So she’s considered to be a border worker and he is family of a border worker. Why are people surprised? https://t.co/mwofDVVWHV,English
2021-04-01,Local Covid-19 vaccine wait list could go live sooner than expected https://t.co/VPJ7ww3pjk,English
2021-04-01,@KikiwahT COVID-19 vaccines designed to elicit neutralising antibodies may sensitise vaccine recipients to more severe disease than if they were not vaccinated. https://t.co/PBin1uK0PW,English
2021-04-01,GONNA GET MICROCHIPPED FROM THE COVID VACCINE IN 15 HELL YEA BUDDER 🥵 https://t.co/RmS40KamBx,English
2021-04-01,So I wonder if there's a correlation to how you react to the vaccine as to how you would've reacted to getting actual COVID.,English
2021-04-01,"Tonight on @fox5ny, we're doing a story about the COVID vaccine becoming available in CT today and NY next week for everyone 16+.  Do you have a 16 or 17 year old and wondering if you should get them vaccinated?  Want to talk to us? @StaceyDelikat @FOX5DESK",English
2021-04-01,"@murpharoo @knausc We all know that Aust would have been stuffed during the worst of covid if the Premiers hadn’t taken control, so the States should take control of the vaccine rollout.",English
2021-04-01,Just got your COVID-19 vaccine and want to share the news? The Better Business Bureau says you shouldn't post a picture of your vaccination card on social media. Here's why: https://t.co/6OvqM2F8Ou,English
2021-04-01,@CantH0LDMe How was it getting in showing Vaccine or Covid tests? Did it go smooth?,English
2021-04-01,"COVID-19: Vaccine passports will 'definitely' become part of international travel, PM says
https://t.co/xa2OYsPSTw https://t.co/SThXBC1r4v",English
2021-04-01,I bought Outriders I’m going to relax for a bit. The 2nd Covid vaccine shot got me tired AF.,English
2021-04-01,"New clinical trials showed that Pfizer's COVID-19 vaccine elicits ""100% efficacy and robust antibody responses"" in adolescents from 12 to 15 years old, the drug company announced Wednesday. https://t.co/z9OHzSozyF",English
2021-04-01,"@DrTessaT That's terrible, this needs to end...look at this poor woman...https://t.co/D2toGH8TO5",English
2021-04-01,@L4L_UK @PetraJSteward The vaccine kills old and young indiscriminately.  Average age of death from 'covid' is ~83.  You have to consider years of life lost in any analysis.,English
2021-04-01,@Al3nziEng @kuwait_tt1100 I believe statement says a person can not get CoVID-19 from the Vaccine itself since it does not contain the virus.,English
2021-04-01,"Scammers are using a new trick: a bogus COVID vaccine survey. In exchange for completing the survey, they offer a free gift, but ask you to pay shipping fees. OC Treasurer Freidenrich recommends if you get an email or text like this, STOP. https://t.co/o09isK8Nx8 https://t.co/n4GbP9qTjK",English
2021-04-01,"Gov. Henry McMaster took to Twitter today in opposition to ""vaccine passports"" in South Carolina. Do you agree? https://t.co/elf8Vp0Ndg https://t.co/XMfTRRT1Fd",English
2021-04-01,"🚨 Washoe County residents 🚨 
Those 16+ can sign up NOW for appointments to receive the COVID-19 vaccine starting April 5 at the Livestock Events Center.

Appointments showing available for the 5th, 6th and 10th!

Sign up here: https://t.co/VpObZnmNBd",English
2021-04-01,My actual job has been crazy the last few weeks. I've been so busy that I had to take a day off to go get part 1 of my COVID vaccine tomorrow. Also means I've barely thought about Twitter or anything else so... hi. I'm not dead.,English
2021-04-01,Crowe is wrong. The problems are not just about supply. There are fundamental flaws in communication and booking systems for COVID-19 vaccination. State leaders and doctors are right to blame Federal government for incompetence. https://t.co/bes2ahHYEM,English
2021-04-01,I got my first dose of the covid vaccine just so I don't have to do Crossfit.,English
2021-04-01,"Can confirm, delighted to see friends vaccinated across the country and here in MD we are watching with lots of envy. via @NYTimes https://t.co/cUNg0yFyBy",English
2021-04-01,Your Liberal government is an embarrassment to Canadians regarding the Covid vaccine procurement and it will be my mission to ensure you are not re-elected in my riding @gagansikand,English
2021-04-01,the covid vaccine possible side effects don't scare me cause if i'm part of the 0.1% of ppl that get extreme reactions i'll just k**l myself and i think that's a pretty healthy mindset to have,English
2021-04-01,"@stevin2021 @Blarfk @Sling35419208 @AlexBerenson Everything you just wrote is absolute nonsense. There are no vaccine enhanced deaths. This is simply COVID sadly playing out its course. Nothing more. 

You are staring at graphs and making wild assumptions. Like seeing dogs in clouds.

https://t.co/NUq2W9kaxJ",English
2021-04-01,⚠By scheduling your COVID-19 vaccine appointment you are confirming that you are eligible for a COVID-19 vaccine and that you are at least 16 years of age⚠️,English
2021-04-01,"I’ve heard, it maybe possible to get a COVID Vaccine shot without taking a selfie. Not sure if it’s true. 💉",English
2021-04-01,"This article says it all. 
4 ways Australia's COVID vaccine rollout has been bungled https://t.co/iJ2ofEXldY via @ConversationEDU",English
2021-04-01,@Timcast So I'm confused.. if Covid is a virus that can't be erasticated because the vaccine is just like the flu vaccine.  Why are they trying to equate it to Small pox and other illnesses that are not the same thing? Those were one and done. This will be yearly if not more,English
2021-04-01,"Have you filled out the short survey about your thoughts on the COVID-19 vaccine? Whether you've received your vaccine or not, CBJ wants to hear from you. Take the survey now on https://t.co/hVi2czP1ja. https://t.co/aPHCCbhw17",English
2021-04-01,@SardonicOldMan Since you can still spread Covid despite the vaccine and infect others the passport is meaningless. It's a participation trophy that is just as valuable as any participation trophy.,English
2021-04-01,"The 2nd shot 💉 has landed!Thank you 🙏🏼 @CVSHealth for the ease, organization, and accessibility for #RI #educators to get our COVID-19 vaccine.",English
2021-04-01,Here's how you can be forced to get the Covid vaccine in the U.S. $BTC.BS-USS $@GC.1 $C $JPM https://t.co/D7c7Udglh0,English
2021-04-01,"@lucylulumusic @MattHancock Jail smallcock  ASAP

https://t.co/sKnTctMKcF",English
2021-04-01,"This Pharmacy Technician - Retail Store job might be a great fit for you. Click the link in our bio to see it and more. Pharmacy Technician - COVID 19 Vaccine Support at CVS Health #Pontotoc, MS",English
2021-04-01,Column: California rushed to vaccinate poor people. But what about transgender people? https://t.co/YlEcUeUSRQ,English
2021-04-01,"@WatchRatio @Jens1872 @ChezPotter Hopefully your age and the vaccine help you shake it off, I lost my grandad and nearly my mum to it, I don't think people realise how damaging covid can be. Hopefully you'll be completely fine and that will be great but if you do get shortness of breath, please call 111.",English
2021-04-01,@pkligerman Got my 2nd Pfizer Covid vaccine Monday 👍,English
2021-04-01,@GavinNewsom @CA_OSG When will non California residents who are full time rv travelers be able to receive a Covid vaccine?,English
2021-04-01,Was able to get my first covid 19 vaccine today. https://t.co/wv4WcL6MgG,English
2021-04-01,"@DSlayer97531 The flu has a very good vaccine, even when it isn’t as effective it alleviates symptoms.  Covid had nothing like this.
You really aren’t getting the point.  It is severe in spite of all the right-wing bullshit that gets slung around.  Over 500,000 deaths prove that.",English
2021-04-01,@talkRADIO @THEJamesWhale @virtualash @Beverleyknight If anyone regardless of their ethnicity is sceptical about taking a rushed experimental vaccine then fair play to them for trying to preserve their health! The clinical trials don’t end until 2023.  Covid has a approx 99.8% survival rate.  Side effects could kick in 2yrs later!,English
2021-04-01,Is there a reason in particular to try to target vaccinations at every affinity group under the sun rather than just making them widely available to everybody? https://t.co/jP3jMhM8cN,English
2021-04-01,"Unlike the U.S. and the U.K., the EU’s procurement efforts didn’t prioritize domestic vaccine deliveries first https://t.co/57RtoQit6d",English
2021-04-01,Pfizer COVID vaccine 91% effective for at least 6 months | CIDRAP (God and bad news – have to get another shot in September?) https://t.co/KhUqhDkyXz,English
2021-04-01,I get my first covid vaccine tomorrow!!!!!!!!,English
2021-04-01,COVID-19 Testing Remains Important As Vaccine Shots Surge Says Bio Logic Aqua® Research &amp; Sharon Kleyne https://t.co/XJZx33JDfV,English
2021-04-01,"South Korea To Launch Blockchain-based Vaccine Passports Called Green Pass that will function through a smartphone app to facilitate cross-border travel and minimizing risk of viral infections.

Source: #Cointelegraph

#Covid_19
#vaccine
#blockchain 
#GreenPass
#worldnews https://t.co/orb6Is6ZsE",English
2021-04-01,Just got my second COVID-19 vaccine dose. https://t.co/Q6E9EdgRsm,English
2021-04-01,"@tskould @gadboit @MyrneStol @resteen @kakape @MacDeptMed @JATetro meaning why see this in AZ covid vax specifically and not in any other general inactivated virus vaccine ? It would have to be something specific about the DNA, which loops back to epitope mimicry.",English
2021-04-01,New vaccine clinic in Fort McMurray. A new large-scale vaccination site will open in Fort McMurray to help more residents access the COVID-19 vaccine: https://t.co/fbF7s82a3O #COVID19AB,English
2021-04-01,Digital Citizenship Tip:  Posting W/ Your COVID Vaccine Card  https://t.co/MSlFBqXnjY #bisdconnect #bisdwired #txed #edtech https://t.co/Uz9jr07tFz,English
2021-04-01,"@YamahaRD125YPVS @VancityReynolds @jessicamalaty Okay but he got the vaccine to lessen the chances of getting it 
and it's covid, it's a virus that kills people and yes you have to still wear a mask and stay 6 ft apart for safety",English
2021-04-01,"Have questions about the COVID-19 vaccine and how to sign up? @HealthierHere is hosting a Q&amp;A session April 6! Join them, register for the event today 👇 https://t.co/D42Sw3LLkl",English
2021-04-01,Marjorie Taylor Greene's Bill Would Allow People to Sue for COVID-19 Vaccine Discrimination https://t.co/TG9SODAJni,English
2021-04-01,@JacobiRonit Hello -We encourage you to visit https://t.co/g2qXR14z6k and find your state to check your eligibility and learn how to register for the vaccine. Thank you!,English
2021-04-01,"There is no risk now as it stands without a vaccine passport. There is no justification for vaccine passports, ever. This will not stop with just these Covid vaccines. We cannot let this happen. https://t.co/CHJufI5RQ4",English
2021-04-01,"By the time this Virus has run its course a tree trillion debt hole will appear across the Euro Zone. The Virus will eventually pass with the upcoming Vaccine rollout, the debt hole won't. Unless a covid debt forgiveness comes to play i fear for the European project. #TonightVMTV",English
2021-04-01,"@Mosterati31 @RubinReport Your statement about the vaccine only addresses the short term, and the rates of vaccine related consequences are far less likely to be reported than Covid related complications. For the record I’m absolutely pro vaccine generally. But most vaccines are tested for nearly a decade",English
2021-04-01,If you can still get covid after getting the vaccine what was the point https://t.co/fI2pBhgD1E,English
2021-04-01,"Ain't it funny....@ScottMorrisonMP
had logistical might with #robodebt.but he has NO CLUE how to get a life saving #COVIDVaccination to our elderly and infirm your a joke #scottyboy #ScottyTheGaslighter
#ScottytheCoward #ScottyFromPhotoOps #auspol #nswpol
https://t.co/72Njjp7nyP",English
2021-04-01,Yikes. We can’t even get enough vaccine to keep human beings from dying but they’re gonna spend some extra times getting the dogs and cats covid free https://t.co/Ql7ja1HsKh,English
2021-04-01,NSW complains about lack of Covid vaccine rollout details from federal government https://t.co/vdjM5jFBoF,English
2021-04-01,"Ohhhh ok ok alright. State of CA requiring jobs to pay you back for PTO you used got anything COVID related including going to get the vaccine and being off due to vaccine symptoms. 

BET!",English
2021-04-01,"Still no COVID vaccine.  Enrolled at 10 different ""sites"" around me but not ONE call yet?  This is getting frustrating.  Done dealing with COVID shit",English
2021-04-01,Got my COVID vaccine date for this Saturday 🥰,English
2021-04-01,"@faithdefender In other words, 8 out of every 100,000 people vaccinated have gotten Covid-19. The efficacy has been published at 95%, or 5 out of every 100. I’d say the vaccine is doing it’s job!",English
2021-04-01,BREAKING: Dr. Fauci Admits COVID Vaccine May Not Be Safe https://t.co/ypHiyMh5WR,English
2021-04-01,I JUST GOT THE COVID VACCINE YAAAAAS!!!,English
2021-04-01,“entific manner. Such a cavalier approach to vaccine safety creates ” — Doctors for Covid Ethics https://t.co/3oBzBB810D,English
2021-04-01,30 years ago today I emigrated to Canada.  🇨🇦 Best geographical move ever. 9 years ago today I joined @HUBInsurance  Best career move ever. 2 hours ago I got my first Covid vaccine. Best vaccination I’ve had in over 50 years.,English
2021-04-01,The Covid antibodies inside my bloodstream after I get the vaccine https://t.co/7VpinlrE6d,English
